Term: leave                          Term Frequency: 1         
Term: often                          Term Frequency: 1         
Term: useful                         Term Frequency: 1         
Term: directors                      Term Frequency: 1         
Term: choose                         Term Frequency: 1         
Term: end                            Term Frequency: 1         
Term: laptops                        Term Frequency: 1         
Term: recorded                       Term Frequency: 1         
Term: supervised                     Term Frequency: 1         
Term: centroid                       Term Frequency: 1         
Term: college                        Term Frequency: 1         
Term: number                         Term Frequency: 1         
Term: similar                        Term Frequency: 1         
Term: testing                        Term Frequency: 1         
Term: distributed                    Term Frequency: 1         
Term: driven                         Term Frequency: 1         
Term: advertised                     Term Frequency: 1         
Term: curriculum                     Term Frequency: 1         
Term: usask.ca                       Term Frequency: 1         
Term: read                           Term Frequency: 1         
Term: admission                      Term Frequency: 1         
Term: tool                           Term Frequency: 1         
Term: facilitate                     Term Frequency: 1         
Term: define                         Term Frequency: 1         
Term: any                            Term Frequency: 1         
Term: organizers                     Term Frequency: 1         
Term: expanding                      Term Frequency: 1         
Term: skills                         Term Frequency: 1         
Term: models                         Term Frequency: 1         
Term: expected                       Term Frequency: 1         
Term: v.kovanovic                    Term Frequency: 1         
Term: broader                        Term Frequency: 1         
Term: popular                        Term Frequency: 1         
Term: contextualizing                Term Frequency: 1         
Term: individuals                    Term Frequency: 1         
Term: features                       Term Frequency: 1         
Term: view                           Term Frequency: 1         
Term: significant                    Term Frequency: 1         
Term: involving                      Term Frequency: 1         
Term: next                           Term Frequency: 1         
Term: book                           Term Frequency: 1         
Term: description                    Term Frequency: 1         
Term: analogous                      Term Frequency: 1         
Term: logistic                       Term Frequency: 1         
Term: collected                      Term Frequency: 1         
Term: largely                        Term Frequency: 1         
Term: images                         Term Frequency: 1         
Term: differences                    Term Frequency: 1         
Term: web                            Term Frequency: 1         
Term: more                           Term Frequency: 1         
Term: recordings                     Term Frequency: 1         
Term: broadly                        Term Frequency: 1         
Term: statistics                     Term Frequency: 1         
Term: pursuing                       Term Frequency: 1         
Term: fee                            Term Frequency: 1         
Term: brooksch                       Term Frequency: 1         
Term: presented                      Term Frequency: 1         
Term: kind                           Term Frequency: 1         
Term: disciplinary                   Term Frequency: 1         
Term: option                         Term Frequency: 1         
Term: candidate                      Term Frequency: 1         
Term: profit                         Term Frequency: 1         
Term: also                           Term Frequency: 1         
Term: approaches                     Term Frequency: 1         
Term: enough                         Term Frequency: 1         
Term: uses                           Term Frequency: 1         
Term: projects                       Term Frequency: 1         
Term: bring                          Term Frequency: 1         
Term: projector                      Term Frequency: 1         
Term: personal                       Term Frequency: 1         
Term: fold                           Term Frequency: 1         
Term: unsupervised                   Term Frequency: 1         
Term: strong                         Term Frequency: 1         
Term: systems                        Term Frequency: 1         
Term: co                             Term Frequency: 1         
Term: visualization                  Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: carry                          Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: little                         Term Frequency: 1         
Term: however                        Term Frequency: 1         
Term: trained                        Term Frequency: 1         
Term: skill                          Term Frequency: 1         
Term: captured                       Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: reviewing                      Term Frequency: 1         
Term: management                     Term Frequency: 1         
Term: very                           Term Frequency: 1         
Term: advanced                       Term Frequency: 1         
Term: collaborators                  Term Frequency: 1         
Term: https                          Term Frequency: 1         
Term: aimed                          Term Frequency: 1         
Term: finalized                      Term Frequency: 1         
Term: traditional                    Term Frequency: 1         
Term: practitioners                  Term Frequency: 1         
Term: inquiry                        Term Frequency: 1         
Term: camera                         Term Frequency: 1         
Term: off                            Term Frequency: 1         
Term: instruction                    Term Frequency: 1         
Term: several                        Term Frequency: 1         
Term: suggests                       Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: level                          Term Frequency: 1         
Term: follows                        Term Frequency: 1         
Term: feeling                        Term Frequency: 1         
Term: relevant                       Term Frequency: 1         
Term: focused                        Term Frequency: 1         
Term: survey                         Term Frequency: 1         
Term: viable                         Term Frequency: 1         
Term: nature                         Term Frequency: 1         
Term: awards                         Term Frequency: 1         
Term: closest                        Term Frequency: 1         
Term: encouraged                     Term Frequency: 1         
Term: them                           Term Frequency: 1         
Term: cognitive                      Term Frequency: 1         
Term: sub                            Term Frequency: 1         
Term: access                         Term Frequency: 1         
Term: conference                     Term Frequency: 1         
Term: activity                       Term Frequency: 1         
Term: seek                           Term Frequency: 1         
Term: audio                          Term Frequency: 1         
Term: storm                          Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: rules                          Term Frequency: 1         
Term: scholarships                   Term Frequency: 1         
Term: higher                         Term Frequency: 1         
Term: expects                        Term Frequency: 1         
Term: technology                     Term Frequency: 1         
Term: deeper                         Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: connection                     Term Frequency: 1         
Term: between                        Term Frequency: 1         
Term: inclusive                      Term Frequency: 1         
Term: goal                           Term Frequency: 1         
Term: method                         Term Frequency: 1         
Term: makers                         Term Frequency: 1         
Term: labelling                      Term Frequency: 1         
Term: leaf                           Term Frequency: 1         
Term: site                           Term Frequency: 1         
Term: responses                      Term Frequency: 1         
Term: minimum                        Term Frequency: 1         
Term: own                            Term Frequency: 1         
Term: realistic                      Term Frequency: 1         
Term: should                         Term Frequency: 1         
Term: create                         Term Frequency: 1         
Term: mechanisms                     Term Frequency: 1         
Term: development                    Term Frequency: 1         
Term: populated                      Term Frequency: 1         
Term: proposed                       Term Frequency: 1         
Term: potentially                    Term Frequency: 1         
Term: costs                          Term Frequency: 1         
Term: limited                        Term Frequency: 1         
Term: allowing                       Term Frequency: 1         
Term: intend                         Term Frequency: 1         
Term: FORMAT                         Term Frequency: 0         
Term: these                          Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Apply                          Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Networked                      Term Frequency: 0         
Term: Nonetheless                    Term Frequency: 0         
Term: LCMS                           Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: Craig                          Term Frequency: 0         
Term: That                           Term Frequency: 0         
Term: Christopher                    Term Frequency: 0         
Term: BIOGRAPHIES                    Term Frequency: 0         
Term: Arlington                      Term Frequency: 0         
Term: Attribute                      Term Frequency: 0         
Term: LAK14                          Term Frequency: 0         
Term: LAK15                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: These                          Term Frequency: 0         
Term: Indianapolis                   Term Frequency: 0         
Term: Vitomir’s                      Term Frequency: 0         
Term: MOOC                           Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Coffee                         Term Frequency: 0         
Term: Informatics                    Term Frequency: 0         
Term: MOTIVATION                     Term Frequency: 0         
Term: Contextualize                  Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Digital                        Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: CCS                            Term Frequency: 0         
Term: Applying                       Term Frequency: 0         
Term: ICLS                           Term Frequency: 0         
Term: Simon                          Term Frequency: 0         
Term: See                            Term Frequency: 0         
Term: CFS                            Term Frequency: 0         
Term: HERDSA15                       Term Frequency: 0         
Term: Brooks                         Term Frequency: 0         
Term: For                            Term Frequency: 0         
Term: Storm3                         Term Frequency: 0         
Term: University                     Term Frequency: 0         
Term: CSCL                           Term Frequency: 0         
Term: With                           Term Frequency: 0         
Term: School                         Term Frequency: 0         
Term: Weka                           Term Frequency: 0         
Term: Copyrights                     Term Frequency: 0         
Term: Director                       Term Frequency: 0         
Term: Educational                    Term Frequency: 0         
Term: LAK                            Term Frequency: 0         
Term: Information                    Term Frequency: 0         
Term: Edinburgh                      Term Frequency: 0         
Term: INTRODUCTION                   Term Frequency: 0         
Term: Owner                          Term Frequency: 0         
Term: United                         Term Frequency: 0         
Term: Department                     Term Frequency: 0         
Term: Permission                     Term Frequency: 0         
Term: Concepts                       Term Frequency: 0         
Term: Office                         Term Frequency: 0         
Term: One                            Term Frequency: 0         
Term: TARGET                         Term Frequency: 0         
Term: Learning                       Term Frequency: 0         
Term: Thompson                       Term Frequency: 0         
Term: Balancing                      Term Frequency: 0         
Term: Explicitly                     Term Frequency: 0         
Term: OBJECTIVES                     Term Frequency: 0         
Term: SMOTE                          Term Frequency: 0         
Term: AIED                           Term Frequency: 0         
Term: Computing                      Term Frequency: 0         
Term: Science                        Term Frequency: 0         
Term: Participants                   Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: An                             Term Frequency: 0         
Term: Machine                        Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Michigan                       Term Frequency: 0         
Term: By                             Term Frequency: 0         
Term: Using                          Term Frequency: 0         
Term: Attendees                      Term Frequency: 0         
Term: Harvard                        Term Frequency: 0         
Term: E.g                            Term Frequency: 0         
Term: SOLAR                          Term Frequency: 0         
Term: He                             Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: PhD                            Term Frequency: 0         
Term: If                             Term Frequency: 0         
Term: It                             Term Frequency: 0         
Term: Lab                            Term Frequency: 0         
Term: April                          Term Frequency: 0         
Term: Introduction                   Term Frequency: 0         
Term: Understand                     Term Frequency: 0         
Term: Ph.D                           Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Researchers                    Term Frequency: 0         
Term: Recognition                    Term Frequency: 0         
Term: Kovanovi                       Term Frequency: 0         
Term: GROUP                          Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Describe                       Term Frequency: 0         
Term: such                           Term Frequency: 0         
Term: To                             Term Frequency: 0         
Term: Waikato1                       Term Frequency: 0         
Term: Fraser                         Term Frequency: 0         
Term: Texas                          Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: was                            Term Frequency: 0         
Term: We                             Term Frequency: 0         
Term: Break                          Term Frequency: 0         
Term: Research                       Term Frequency: 0         
Term: His                            Term Frequency: 0         
Term: Knowledge                      Term Frequency: 0         
Term: EDM                            Term Frequency: 0         
Term: Analyst                        Term Frequency: 0         
Term: Vitomir                        Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: J48                            Term Frequency: 0         
Term: ANOVA                          Term Frequency: 0         
Term: Comparison                     Term Frequency: 0         
Term: by                             Term Frequency: 0         
Term: ACM                            Term Frequency: 0         
Term: Administrators                 Term Frequency: 0         
Term: Depending                      Term Frequency: 0         
Term: LASI14                         Term Frequency: 0         
Term: ITS                            Term Frequency: 0         
Term: for                            Term Frequency: 0         
Term: Professor                      Term Frequency: 0         
Term: Image                          Term Frequency: 0         
Term: Mining                         Term Frequency: 0         
Term: in                             Term Frequency: 0         
Term: is                             Term Frequency: 0         
Term: Saskatchewan                   Term Frequency: 0         
Term: it                             Term Frequency: 0         
Term: Frame                          Term Frequency: 0         
Term: that                           Term Frequency: 0         
Term: no                             Term Frequency: 0         
Term: of                             Term Frequency: 0         
Term: on                             Term Frequency: 0         
Term: or                             Term Frequency: 0         
Term: Assistant                      Term Frequency: 0         
Term: they                           Term Frequency: 0         
Term: Innovation                     Term Frequency: 0         
Term: to                             Term Frequency: 0         
Term: but                            Term Frequency: 0         
Term: this                           Term Frequency: 0         
Term: Kingdom                        Term Frequency: 0         
Term: Pardos                         Term Frequency: 0         
Term: Serbian                        Term Frequency: 0         
Term: will                           Term Frequency: 0         
Term: While                          Term Frequency: 0         
