Term: most                           Term Frequency: 6         
Term: affect                         Term Frequency: 6         
Term: compared                       Term Frequency: 6         
Term: half                           Term Frequency: 5         
Term: 9                              Term Frequency: 5         
Term: after                          Term Frequency: 5         
Term: information                    Term Frequency: 5         
Term: predicted                      Term Frequency: 5         
Term: findings                       Term Frequency: 5         
Term: including                      Term Frequency: 5         
Term: 11                             Term Frequency: 5         
Term: 20                             Term Frequency: 5         
Term: 24                             Term Frequency: 5         
Term: 50                             Term Frequency: 5         
Term: step                           Term Frequency: 5         
Term: computers                      Term Frequency: 5         
Term: screen                         Term Frequency: 5         
Term: content                        Term Frequency: 5         
Term: predicting                     Term Frequency: 5         
Term: suggests                       Term Frequency: 5         
Term: lecture                        Term Frequency: 5         
Term: single                         Term Frequency: 5         
Term: up                             Term Frequency: 5         
Term: correct                        Term Frequency: 5         
Term: reader                         Term Frequency: 5         
Term: basic                          Term Frequency: 5         
Term: school                         Term Frequency: 5         
Term: passages                       Term Frequency: 5         
Term: before                         Term Frequency: 5         
Term: detection                      Term Frequency: 5         
Term: important                      Term Frequency: 5         
Term: complex                        Term Frequency: 5         
Term: classifiers                    Term Frequency: 5         
Term: focused                        Term Frequency: 5         
Term: well                           Term Frequency: 5         
Term: 9th                            Term Frequency: 5         
Term: collaborative                  Term Frequency: 5         
Term: predictions                    Term Frequency: 5         
Term: complexity                     Term Frequency: 5         
Term: user                           Term Frequency: 5         
Term: lower                          Term Frequency: 5         
Term: our                            Term Frequency: 5         
Term: despite                        Term Frequency: 5         
Term: 2012                           Term Frequency: 5         
Term: 2014                           Term Frequency: 5         
Term: validation                     Term Frequency: 5         
Term: solving                        Term Frequency: 5         
Term: negatively                     Term Frequency: 5         
Term: 000                            Term Frequency: 5         
Term: grade                          Term Frequency: 5         
Term: through                        Term Frequency: 5         
Term: correctness                    Term Frequency: 5         
Term: experimental                   Term Frequency: 5         
Term: digit                          Term Frequency: 5         
Term: 100                            Term Frequency: 5         
Term: adults                         Term Frequency: 5         
Term: seconds                        Term Frequency: 5         
Term: goal                           Term Frequency: 5         
Term: ranging                        Term Frequency: 4         
Term: state                          Term Frequency: 4         
Term: concept                        Term Frequency: 4         
Term: required                       Term Frequency: 4         
Term: tutors                         Term Frequency: 4         
Term: average                        Term Frequency: 4         
Term: possible                       Term Frequency: 4         
Term: did                            Term Frequency: 4         
Term: made                           Term Frequency: 4         
Term: main                           Term Frequency: 4         
