Term: keeping                        Term Frequency: 1         
Term: transition                     Term Frequency: 1         
Term: represent                      Term Frequency: 1         
Term: promise                        Term Frequency: 1         
Term: faculty                        Term Frequency: 1         
Term: contact                        Term Frequency: 1         
Term: warning                        Term Frequency: 1         
Term: which                          Term Frequency: 1         
Term: typically                      Term Frequency: 1         
Term: 720                            Term Frequency: 1         
Term: party                          Term Frequency: 1         
Term: cursor                         Term Frequency: 1         
Term: origin                         Term Frequency: 1         
Term: explained                      Term Frequency: 1         
Term: 978                            Term Frequency: 1         
Term: notice                         Term Frequency: 1         
Term: visualizations                 Term Frequency: 1         
Term: 2016                           Term Frequency: 1         
Term: 2015                           Term Frequency: 1         
Term: grant                          Term Frequency: 1         
Term: showing                        Term Frequency: 1         
Term: subset                         Term Frequency: 1         
Term: thanks                         Term Frequency: 1         
Term: made                           Term Frequency: 1         
Term: jd.freeman                     Term Frequency: 1         
Term: sense                          Term Frequency: 1         
Term: printed                        Term Frequency: 1         
Term: field                          Term Frequency: 1         
Term: 3.1                            Term Frequency: 1         
Term: customized                     Term Frequency: 1         
Term: eventually                     Term Frequency: 1         
Term: member                         Term Frequency: 1         
Term: trigger                        Term Frequency: 1         
Term: instruction                    Term Frequency: 1         
Term: able                           Term Frequency: 1         
Term: file.live_events.htmlhttp      Term Frequency: 1         
Term: dimensional                    Term Frequency: 1         
Term: mail                           Term Frequency: 1         
Term: posts                          Term Frequency: 1         
Term: index.php                      Term Frequency: 1         
Term: limit                          Term Frequency: 1         
Term: different                      Term Frequency: 1         
Term: directly                       Term Frequency: 1         
Term: interactively                  Term Frequency: 1         
Term: synthetic                      Term Frequency: 1         
Term: make                           Term Frequency: 1         
Term: falling                        Term Frequency: 1         
Term: 4043                           Term Frequency: 1         
Term: deviation                      Term Frequency: 1         
Term: depicted                       Term Frequency: 1         
Term: shaded                         Term Frequency: 1         
Term: scored                         Term Frequency: 1         
Term: compliant                      Term Frequency: 1         
Term: 04                             Term Frequency: 1         
Term: granted                        Term Frequency: 1         
Term: mission                        Term Frequency: 1         
Term: components                     Term Frequency: 1         
Term: 25                             Term Frequency: 1         
Term: conference                     Term Frequency: 1         
Term: 29                             Term Frequency: 1         
Term: grammatical                    Term Frequency: 1         
Term: believe                        Term Frequency: 1         
Term: perspective                    Term Frequency: 1         
Term: so                             Term Frequency: 1         
Term: one                            Term Frequency: 1         
Term: appear                         Term Frequency: 1         
Term: collaboration                  Term Frequency: 1         
Term: file.live_events.html          Term Frequency: 1         
Term: commercial                     Term Frequency: 1         
Term: displaying                     Term Frequency: 1         
Term: demonstrate                    Term Frequency: 1         
Term: higher                         Term Frequency: 1         
Term: throughout                     Term Frequency: 1         
Term: recently                       Term Frequency: 1         
Term: reading                        Term Frequency: 1         
Term: 185                            Term Frequency: 1         
Term: base                           Term Frequency: 1         
Term: held                           Term Frequency: 1         
Term: anonymized                     Term Frequency: 1         
Term: beyond                         Term Frequency: 1         
Term: review                         Term Frequency: 1         
Term: justify                        Term Frequency: 1         
Term: makers                         Term Frequency: 1         
Term: facilitating                   Term Frequency: 1         
Term: packs                          Term Frequency: 1         
Term: toward                         Term Frequency: 1         
Term: across                         Term Frequency: 1         
Term: get                            Term Frequency: 1         
Term: hopes                          Term Frequency: 1         
Term: power                          Term Frequency: 1         
Term: demonstrated                   Term Frequency: 1         
Term: first                          Term Frequency: 1         
Term: prepared                       Term Frequency: 1         
Term: 10.1145                        Term Frequency: 1         
Term: space                          Term Frequency: 1         
Term: tab                            Term Frequency: 1         
Term: demonstrates                   Term Frequency: 1         
Term: like                           Term Frequency: 1         
Term: mining                         Term Frequency: 1         
Term: publisher                      Term Frequency: 1         
Term: honored                        Term Frequency: 1         
Term: scale                          Term Frequency: 1         
Term: unzin.org                      Term Frequency: 1         
Term: platform                       Term Frequency: 1         
Term: advantage                      Term Frequency: 1         
Term: compliance                     Term Frequency: 1         
Term: Austin                         Term Frequency: 0         
Term: Street                         Term Frequency: 0         
Term: Status                         Term Frequency: 0         
Term: Analysis                       Term Frequency: 0         
Term: Consortium                     Term Frequency: 0         
Term: Author                         Term Frequency: 0         
Term: A                              Term Frequency: 0         
Term: C                              Term Frequency: 0         
Term: D                              Term Frequency: 0         
Term: E                              Term Frequency: 0         
Term: Selection                      Term Frequency: 0         
Term: I                              Term Frequency: 0         
Term: J                              Term Frequency: 0         
Term: K                              Term Frequency: 0         
Term: The                            Term Frequency: 0         
Term: As                             Term Frequency: 0         
Term: Contributions                  Term Frequency: 0         
Term: S                              Term Frequency: 0         
Term: a                              Term Frequency: 0         
Term: Average                        Term Frequency: 0         
Term: the                            Term Frequency: 0         
Term: Freeman                        Term Frequency: 0         
Term: Global                         Term Frequency: 0         
Term: Tooltip                        Term Frequency: 0         
Term: Term                           Term Frequency: 0         
Term: Dr                             Term Frequency: 0         
Term: Video                          Term Frequency: 0         
Term: Computers                      Term Frequency: 0         
Term: Keywords                       Term Frequency: 0         
Term: Over                           Term Frequency: 0         
Term: Report                         Term Frequency: 0         
Term: with                           Term Frequency: 0         
Term: there                          Term Frequency: 0         
Term: Euclidean                      Term Frequency: 0         
Term: DOI                            Term Frequency: 0         
Term: Kentucky                       Term Frequency: 0         
Term: Student                        Term Frequency: 0         
Term: Senior                         Term Frequency: 0         
Term: Finally                        Term Frequency: 0         
Term: In                             Term Frequency: 0         
Term: URL                            Term Frequency: 0         
Term: unizin.orgABSTRACT             Term Frequency: 0         
Term: Events                         Term Frequency: 0         
Term: Menu                           Term Frequency: 0         
Term: Among                          Term Frequency: 0         
Term: USA                            Term Frequency: 0         
Term: Text                           Term Frequency: 0         
Term: Algorithms                     Term Frequency: 0         
Term: Journal                        Term Frequency: 0         
Term: Copyright                      Term Frequency: 0         
Term: Education                      Term Frequency: 0         
Term: April                          Term Frequency: 0         
Term: Intervention                   Term Frequency: 0         
Term: Madison                        Term Frequency: 0         
Term: Ms                             Term Frequency: 0         
Term: and                            Term Frequency: 0         
Term: Framework                      Term Frequency: 0         
Term: Pleading                       Term Frequency: 0         
Term: Analytics                      Term Frequency: 0         
Term: Kimberly                       Term Frequency: 0         
Term: REFERENCES                     Term Frequency: 0         
Term: Suite                          Term Frequency: 0         
Term: Students                       Term Frequency: 0         
Term: Discourse                      Term Frequency: 0         
Term: Demonstration                  Term Frequency: 0         
Term: Representing                   Term Frequency: 0         
Term: Natural                        Term Frequency: 0         
Term: Open                           Term Frequency: 0         
Term: are                            Term Frequency: 0         
Term: Wisconsin                      Term Frequency: 0         
Term: Figure                         Term Frequency: 0         
Term: Frustration                    Term Frequency: 0         
Term: Other                          Term Frequency: 0         
Term: TX                             Term Frequency: 0         
Term: eText                          Term Frequency: 0         
Term: This                           Term Frequency: 0         
Term: Evaluation                     Term Frequency: 0         
Term: Individual                     Term Frequency: 0         
Term: Class                          Term Frequency: 0         
Term: WE                             Term Frequency: 0         
Term: not                            Term Frequency: 0         
Term: Expressed                      Term Frequency: 0         
Term: Clustering                     Term Frequency: 0         
Term: Alert                          Term Frequency: 0         
Term: Word                           Term Frequency: 0         
Term: Computer                       Term Frequency: 0         
Term: Kellen                         Term Frequency: 0         
Term: Help                           Term Frequency: 0         
Term: FERPA                          Term Frequency: 0         
Term: Promotional                    Term Frequency: 0         
Term: Charted                        Term Frequency: 0         
Term: Datum                          Term Frequency: 0         
Term: CAI                            Term Frequency: 0         
Term: IMS                            Term Frequency: 0         
Term: Arnold                         Term Frequency: 0         
Term: Entire                         Term Frequency: 0         
Term: Uncertainty                    Term Frequency: 0         
Term: their                          Term Frequency: 0         
Term: Data                           Term Frequency: 0         
Term: Simon                          Term Frequency: 0         
Term: Relative                       Term Frequency: 0         
Term: an                             Term Frequency: 0         
Term: as                             Term Frequency: 0         
Term: Here                           Term Frequency: 0         
Term: at                             Term Frequency: 0         
Term: be                             Term Frequency: 0         
Term: Inquisition                    Term Frequency: 0         
